identity_line_item_id,bill_billing_period_start_date,line_item_usage_account_id,product_product_name,line_item_usage_type,pricing_public_on_demand_cost,line_item_usage_start_date,line_item_usage_end_date
li-2613834,2025-06-01,858534815553,AmazonS3,BoxUsage:m6i.xlarge,8.042,2025-06-23T12:00Z,2025-06-23T13:00Z
li-1575209,2025-06-01,688886576792,AmazonS3,TimedStorage-S3,3.427,2025-06-19T14:00Z,2025-06-19T15:00Z
li-4211402,2025-06-01,629651808677,AmazonRDS,BoxUsage:m6i.xlarge,1.406,2025-06-25T01:00Z,2025-06-25T02:00Z
li-7733771,2025-07-01,207832445562,AmazonRDS,InstanceUsage:rds.t3.medium,3.682,2025-07-10T09:00Z,2025-07-10T10:00Z
li-4475660,2025-06-01,593108946387,AmazonS3,TimedStorage-S3,5.593,2025-06-19T20:00Z,2025-06-19T21:00Z
li-3139691,2025-07-01,704270764906,AmazonRDS,InstanceUsage:rds.t3.medium,0.973,2025-07-10T21:00Z,2025-07-10T22:00Z
li-3272070,2025-06-01,561443661534,AmazonEC2,TimedStorage-S3,4.882,2025-06-29T16:00Z,2025-06-29T17:00Z
li-4273597,2025-06-01,860926803383,AmazonEC2,BoxUsage:m6i.xlarge,9.363,2025-06-27T05:00Z,2025-06-27T06:00Z
li-9942478,2025-07-01,490452106700,AmazonS3,BoxUsage:m6i.xlarge,6.347,2025-07-05T09:00Z,2025-07-05T10:00Z
li-1868720,2025-07-01,237808191904,AmazonS3,InstanceUsage:rds.t3.medium,9.523,2025-07-13T16:00Z,2025-07-13T17:00Z
li-5047590,2025-06-01,990428454578,AmazonS3,BoxUsage:m6i.xlarge,1.314,2025-06-30T19:00Z,2025-06-30T20:00Z
li-5234051,2025-07-01,958038922849,AmazonS3,TimedStorage-S3,3.382,2025-07-08T11:00Z,2025-07-08T12:00Z
li-5311673,2025-07-01,829845928364,AmazonEC2,InstanceUsage:rds.t3.medium,6.286,2025-07-04T08:00Z,2025-07-04T09:00Z
li-5832976,2025-07-01,923781669550,AmazonRDS,TimedStorage-S3,9.749,2025-07-02T06:00Z,2025-07-02T07:00Z
li-3827681,2025-07-01,499042033367,AmazonEC2,BoxUsage:m6i.xlarge,6.207,2025-07-15T11:00Z,2025-07-15T12:00Z
li-7618818,2025-06-01,217819035462,AmazonS3,InstanceUsage:rds.t3.medium,1.429,2025-06-24T12:00Z,2025-06-24T13:00Z
li-1903316,2025-06-01,462789353535,AmazonEC2,BoxUsage:m6i.xlarge,7.969,2025-06-28T00:00Z,2025-06-28T01:00Z
li-7349023,2025-06-01,528793973469,AmazonEC2,BoxUsage:m6i.xlarge,2.431,2025-06-25T13:00Z,2025-06-25T14:00Z
li-9594853,2025-06-01,518451870663,AmazonEC2,TimedStorage-S3,1.980,2025-06-20T03:00Z,2025-06-20T04:00Z
li-4173030,2025-06-01,628483651654,AmazonRDS,TimedStorage-S3,3.466,2025-06-25T01:00Z,2025-06-25T02:00Z
li-5145106,2025-07-01,944250767794,AmazonS3,TimedStorage-S3,6.873,2025-07-16T11:00Z,2025-07-16T12:00Z
li-6333573,2025-06-01,560104612625,AmazonS3,InstanceUsage:rds.t3.medium,5.255,2025-06-29T05:00Z,2025-06-29T06:00Z
li-3780852,2025-07-01,137734346877,AmazonEC2,TimedStorage-S3,3.234,2025-07-02T07:00Z,2025-07-02T08:00Z
li-7857577,2025-07-01,380160431895,AmazonEC2,BoxUsage:m6i.xlarge,2.499,2025-07-14T04:00Z,2025-07-14T05:00Z
li-6397306,2025-07-01,580514840297,AmazonEC2,InstanceUsage:rds.t3.medium,8.973,2025-07-08T10:00Z,2025-07-08T11:00Z
li-6891410,2025-06-01,572741562582,AmazonS3,InstanceUsage:rds.t3.medium,2.434,2025-06-29T13:00Z,2025-06-29T14:00Z
li-6685696,2025-06-01,237790348238,AmazonRDS,BoxUsage:m6i.xlarge,1.005,2025-06-18T03:00Z,2025-06-18T04:00Z
li-3486702,2025-06-01,541752179351,AmazonEC2,BoxUsage:m6i.xlarge,7.190,2025-06-27T21:00Z,2025-06-27T22:00Z
li-3880368,2025-06-01,216916175354,AmazonRDS,TimedStorage-S3,9.422,2025-06-25T05:00Z,2025-06-25T06:00Z
li-4938930,2025-07-01,189608708763,AmazonS3,TimedStorage-S3,9.774,2025-07-10T08:00Z,2025-07-10T09:00Z
li-5048750,2025-07-01,283073765557,AmazonS3,InstanceUsage:rds.t3.medium,1.797,2025-07-11T00:00Z,2025-07-11T01:00Z
li-1265299,2025-06-01,885131034752,AmazonRDS,TimedStorage-S3,8.642,2025-06-21T02:00Z,2025-06-21T03:00Z
li-2828349,2025-06-01,928143100090,AmazonS3,TimedStorage-S3,6.442,2025-06-19T19:00Z,2025-06-19T20:00Z
li-1421935,2025-06-01,471119092033,AmazonRDS,BoxUsage:m6i.xlarge,5.563,2025-06-19T14:00Z,2025-06-19T15:00Z
li-3981010,2025-07-01,354569947434,AmazonS3,InstanceUsage:rds.t3.medium,2.913,2025-07-08T02:00Z,2025-07-08T03:00Z
li-1749077,2025-06-01,307753765449,AmazonRDS,BoxUsage:m6i.xlarge,9.212,2025-06-20T13:00Z,2025-06-20T14:00Z
li-9405600,2025-06-01,364943435810,AmazonEC2,InstanceUsage:rds.t3.medium,7.253,2025-06-26T13:00Z,2025-06-26T14:00Z
li-4451265,2025-07-01,634970497937,AmazonRDS,BoxUsage:m6i.xlarge,5.770,2025-07-03T05:00Z,2025-07-03T06:00Z
li-7518763,2025-07-01,496091611128,AmazonRDS,TimedStorage-S3,3.884,2025-07-05T05:00Z,2025-07-05T06:00Z
li-4934095,2025-07-01,481766646850,AmazonS3,BoxUsage:m6i.xlarge,2.089,2025-07-14T18:00Z,2025-07-14T19:00Z
li-7448183,2025-06-01,512001950170,AmazonEC2,BoxUsage:m6i.xlarge,2.427,2025-06-24T17:00Z,2025-06-24T18:00Z
li-6761849,2025-07-01,960769357310,AmazonS3,InstanceUsage:rds.t3.medium,5.358,2025-07-02T18:00Z,2025-07-02T19:00Z
li-6751253,2025-07-01,778308140000,AmazonRDS,TimedStorage-S3,2.484,2025-07-05T11:00Z,2025-07-05T12:00Z
li-7418889,2025-06-01,899696038237,AmazonEC2,InstanceUsage:rds.t3.medium,4.498,2025-06-21T11:00Z,2025-06-21T12:00Z
li-9739074,2025-07-01,900677703958,AmazonRDS,InstanceUsage:rds.t3.medium,2.325,2025-07-14T09:00Z,2025-07-14T10:00Z
li-3504246,2025-07-01,360091126075,AmazonEC2,InstanceUsage:rds.t3.medium,5.649,2025-07-06T02:00Z,2025-07-06T03:00Z
li-4332875,2025-07-01,104956937440,AmazonRDS,BoxUsage:m6i.xlarge,6.367,2025-07-15T22:00Z,2025-07-15T23:00Z
li-1570825,2025-07-01,893137177893,AmazonRDS,TimedStorage-S3,6.022,2025-07-13T19:00Z,2025-07-13T20:00Z
li-5782783,2025-06-01,473368997790,AmazonRDS,TimedStorage-S3,7.256,2025-06-20T14:00Z,2025-06-20T15:00Z
li-9613731,2025-07-01,414878988066,AmazonRDS,BoxUsage:m6i.xlarge,1.774,2025-07-03T21:00Z,2025-07-03T22:00Z
li-6568822,2025-07-01,464474635461,AmazonRDS,InstanceUsage:rds.t3.medium,6.240,2025-07-03T06:00Z,2025-07-03T07:00Z
li-1026327,2025-06-01,210157087167,AmazonRDS,BoxUsage:m6i.xlarge,6.997,2025-06-24T13:00Z,2025-06-24T14:00Z
li-2743235,2025-07-01,334627661116,AmazonS3,InstanceUsage:rds.t3.medium,5.482,2025-07-05T20:00Z,2025-07-05T21:00Z
li-1858801,2025-07-01,619407213590,AmazonEC2,TimedStorage-S3,6.482,2025-07-17T00:00Z,2025-07-17T01:00Z
li-7675351,2025-06-01,145293783507,AmazonRDS,InstanceUsage:rds.t3.medium,4.304,2025-06-22T14:00Z,2025-06-22T15:00Z
li-6715171,2025-07-01,455739177329,AmazonRDS,TimedStorage-S3,6.210,2025-07-15T16:00Z,2025-07-15T17:00Z
li-1176539,2025-07-01,807797419161,AmazonEC2,InstanceUsage:rds.t3.medium,6.668,2025-07-04T05:00Z,2025-07-04T06:00Z
li-9479381,2025-07-01,273353090726,AmazonRDS,InstanceUsage:rds.t3.medium,6.199,2025-07-05T05:00Z,2025-07-05T06:00Z
li-5390119,2025-07-01,866548790404,AmazonEC2,InstanceUsage:rds.t3.medium,9.880,2025-07-12T22:00Z,2025-07-12T23:00Z
li-9864820,2025-06-01,118870569542,AmazonRDS,InstanceUsage:rds.t3.medium,7.589,2025-06-27T16:00Z,2025-06-27T17:00Z
li-8529771,2025-06-01,136360933855,AmazonEC2,BoxUsage:m6i.xlarge,0.194,2025-06-30T14:00Z,2025-06-30T15:00Z
li-8479081,2025-07-01,100785349662,AmazonEC2,BoxUsage:m6i.xlarge,7.679,2025-07-04T05:00Z,2025-07-04T06:00Z
li-8054441,2025-06-01,233182931590,AmazonS3,InstanceUsage:rds.t3.medium,5.161,2025-06-19T13:00Z,2025-06-19T14:00Z
li-1388987,2025-06-01,473903743356,AmazonEC2,TimedStorage-S3,6.555,2025-06-24T04:00Z,2025-06-24T05:00Z
li-6260400,2025-07-01,401064902739,AmazonRDS,BoxUsage:m6i.xlarge,5.193,2025-07-11T21:00Z,2025-07-11T22:00Z
li-3735842,2025-07-01,473644077189,AmazonRDS,BoxUsage:m6i.xlarge,5.950,2025-07-16T12:00Z,2025-07-16T13:00Z
li-2612489,2025-07-01,928066024293,AmazonRDS,InstanceUsage:rds.t3.medium,2.350,2025-07-15T19:00Z,2025-07-15T20:00Z
li-3908829,2025-07-01,969823292737,AmazonEC2,TimedStorage-S3,8.787,2025-07-05T11:00Z,2025-07-05T12:00Z
li-8233624,2025-06-01,616724412679,AmazonEC2,TimedStorage-S3,4.756,2025-06-24T22:00Z,2025-06-24T23:00Z
li-6847390,2025-07-01,681037856581,AmazonS3,TimedStorage-S3,3.907,2025-07-06T07:00Z,2025-07-06T08:00Z
li-8520357,2025-06-01,904334129089,AmazonS3,TimedStorage-S3,5.909,2025-06-25T09:00Z,2025-06-25T10:00Z
li-6792312,2025-06-01,955595066740,AmazonRDS,TimedStorage-S3,8.043,2025-06-21T19:00Z,2025-06-21T20:00Z
li-3687053,2025-07-01,492782244849,AmazonS3,InstanceUsage:rds.t3.medium,8.232,2025-07-03T20:00Z,2025-07-03T21:00Z
li-1444653,2025-07-01,818903274790,AmazonEC2,TimedStorage-S3,5.906,2025-07-16T19:00Z,2025-07-16T20:00Z
li-8138441,2025-07-01,272498273053,AmazonRDS,BoxUsage:m6i.xlarge,6.069,2025-07-01T16:00Z,2025-07-01T17:00Z
li-2088541,2025-06-01,364133612797,AmazonEC2,InstanceUsage:rds.t3.medium,3.689,2025-06-19T19:00Z,2025-06-19T20:00Z
li-7928050,2025-07-01,400212709880,AmazonEC2,InstanceUsage:rds.t3.medium,8.300,2025-07-09T16:00Z,2025-07-09T17:00Z
li-1197428,2025-06-01,298890257074,AmazonRDS,BoxUsage:m6i.xlarge,6.323,2025-06-28T01:00Z,2025-06-28T02:00Z
li-8492418,2025-07-01,266392907826,AmazonS3,TimedStorage-S3,0.243,2025-07-12T19:00Z,2025-07-12T20:00Z
li-9897049,2025-06-01,362495128406,AmazonEC2,BoxUsage:m6i.xlarge,7.177,2025-06-30T07:00Z,2025-06-30T08:00Z
li-3985971,2025-07-01,674383349255,AmazonEC2,BoxUsage:m6i.xlarge,9.063,2025-07-03T19:00Z,2025-07-03T20:00Z
li-1631066,2025-06-01,914614681488,AmazonS3,BoxUsage:m6i.xlarge,9.091,2025-06-27T06:00Z,2025-06-27T07:00Z
li-4903280,2025-06-01,206410241266,AmazonS3,TimedStorage-S3,9.482,2025-06-25T18:00Z,2025-06-25T19:00Z
li-6535059,2025-07-01,241970573936,AmazonEC2,BoxUsage:m6i.xlarge,7.894,2025-07-15T16:00Z,2025-07-15T17:00Z
li-8208850,2025-07-01,846134838889,AmazonRDS,TimedStorage-S3,4.598,2025-07-07T05:00Z,2025-07-07T06:00Z
li-1565525,2025-07-01,958064065215,AmazonRDS,BoxUsage:m6i.xlarge,9.639,2025-07-17T16:00Z,2025-07-17T17:00Z
li-4612863,2025-06-01,366583991303,AmazonEC2,TimedStorage-S3,1.609,2025-06-26T01:00Z,2025-06-26T02:00Z
li-2596124,2025-06-01,933995089613,AmazonS3,InstanceUsage:rds.t3.medium,2.428,2025-06-22T06:00Z,2025-06-22T07:00Z
li-9912079,2025-07-01,591494213511,AmazonRDS,BoxUsage:m6i.xlarge,1.537,2025-07-03T12:00Z,2025-07-03T13:00Z
li-5838062,2025-06-01,872940174925,AmazonS3,BoxUsage:m6i.xlarge,4.133,2025-06-22T03:00Z,2025-06-22T04:00Z
li-7147371,2025-07-01,105803412750,AmazonS3,InstanceUsage:rds.t3.medium,7.645,2025-07-02T19:00Z,2025-07-02T20:00Z
li-2196721,2025-07-01,317009341295,AmazonEC2,BoxUsage:m6i.xlarge,0.182,2025-07-01T21:00Z,2025-07-01T22:00Z
li-7403757,2025-07-01,972112459101,AmazonRDS,InstanceUsage:rds.t3.medium,7.790,2025-07-03T12:00Z,2025-07-03T13:00Z
li-5976358,2025-06-01,157620709652,AmazonRDS,TimedStorage-S3,9.730,2025-06-21T07:00Z,2025-06-21T08:00Z
li-3435333,2025-07-01,307591925719,AmazonEC2,BoxUsage:m6i.xlarge,5.808,2025-07-14T11:00Z,2025-07-14T12:00Z
li-6679394,2025-06-01,169475320753,AmazonEC2,InstanceUsage:rds.t3.medium,9.565,2025-06-27T01:00Z,2025-06-27T02:00Z
li-8566912,2025-06-01,223716414799,AmazonS3,InstanceUsage:rds.t3.medium,6.043,2025-06-25T08:00Z,2025-06-25T09:00Z
li-5239892,2025-06-01,676955184334,AmazonEC2,BoxUsage:m6i.xlarge,8.166,2025-06-20T14:00Z,2025-06-20T15:00Z
li-2519065,2025-06-01,762793324998,AmazonS3,InstanceUsage:rds.t3.medium,0.702,2025-06-22T16:00Z,2025-06-22T17:00Z
li-6288254,2025-07-01,794134622659,AmazonRDS,TimedStorage-S3,2.152,2025-07-01T13:00Z,2025-07-01T14:00Z
li-1705320,2025-07-01,584058880565,AmazonEC2,InstanceUsage:rds.t3.medium,6.743,2025-07-16T02:00Z,2025-07-16T03:00Z
li-7736236,2025-07-01,588359222865,AmazonEC2,TimedStorage-S3,2.233,2025-07-03T06:00Z,2025-07-03T07:00Z
li-7578175,2025-06-01,664755005268,AmazonEC2,TimedStorage-S3,1.505,2025-06-25T09:00Z,2025-06-25T10:00Z
li-2962394,2025-07-01,407320237875,AmazonEC2,InstanceUsage:rds.t3.medium,7.704,2025-07-03T03:00Z,2025-07-03T04:00Z
li-9535219,2025-07-01,324463584189,AmazonRDS,BoxUsage:m6i.xlarge,2.967,2025-07-06T07:00Z,2025-07-06T08:00Z
li-8505740,2025-07-01,152582671888,AmazonRDS,InstanceUsage:rds.t3.medium,0.345,2025-07-03T08:00Z,2025-07-03T09:00Z
li-5331607,2025-06-01,703242797146,AmazonEC2,InstanceUsage:rds.t3.medium,9.556,2025-06-21T03:00Z,2025-06-21T04:00Z
li-1533638,2025-07-01,195801204878,AmazonEC2,InstanceUsage:rds.t3.medium,1.077,2025-07-06T16:00Z,2025-07-06T17:00Z
li-8858427,2025-06-01,998453283917,AmazonRDS,InstanceUsage:rds.t3.medium,8.962,2025-06-22T06:00Z,2025-06-22T07:00Z
li-1565013,2025-06-01,374732285001,AmazonEC2,TimedStorage-S3,6.072,2025-06-21T02:00Z,2025-06-21T03:00Z
li-4493230,2025-06-01,129437131442,AmazonS3,TimedStorage-S3,1.906,2025-06-18T15:00Z,2025-06-18T16:00Z
li-5768297,2025-06-01,332163363616,AmazonEC2,InstanceUsage:rds.t3.medium,8.812,2025-06-19T22:00Z,2025-06-19T23:00Z
li-4600594,2025-07-01,377837855808,AmazonEC2,BoxUsage:m6i.xlarge,2.484,2025-07-15T02:00Z,2025-07-15T03:00Z
li-2814483,2025-06-01,665810082534,AmazonS3,BoxUsage:m6i.xlarge,2.636,2025-06-22T14:00Z,2025-06-22T15:00Z
li-2638713,2025-06-01,445269359126,AmazonEC2,BoxUsage:m6i.xlarge,5.372,2025-06-29T16:00Z,2025-06-29T17:00Z
li-8485637,2025-07-01,373862445112,AmazonEC2,InstanceUsage:rds.t3.medium,2.088,2025-07-01T19:00Z,2025-07-01T20:00Z
li-3398394,2025-06-01,263178833163,AmazonEC2,BoxUsage:m6i.xlarge,7.038,2025-06-27T14:00Z,2025-06-27T15:00Z
li-8733372,2025-07-01,332593138779,AmazonEC2,TimedStorage-S3,9.631,2025-07-15T20:00Z,2025-07-15T21:00Z
li-4970619,2025-06-01,567130599868,AmazonRDS,InstanceUsage:rds.t3.medium,0.712,2025-06-25T12:00Z,2025-06-25T13:00Z
li-8022426,2025-06-01,546197017115,AmazonRDS,TimedStorage-S3,9.771,2025-06-27T18:00Z,2025-06-27T19:00Z
li-5319438,2025-07-01,206272418319,AmazonRDS,InstanceUsage:rds.t3.medium,4.263,2025-07-16T18:00Z,2025-07-16T19:00Z
li-3620212,2025-06-01,607984835821,AmazonEC2,BoxUsage:m6i.xlarge,4.625,2025-06-25T09:00Z,2025-06-25T10:00Z
li-9376717,2025-07-01,312371998779,AmazonEC2,TimedStorage-S3,7.999,2025-07-12T20:00Z,2025-07-12T21:00Z
li-5437465,2025-06-01,232972322234,AmazonEC2,InstanceUsage:rds.t3.medium,5.279,2025-06-29T06:00Z,2025-06-29T07:00Z
li-3877542,2025-07-01,764456248865,AmazonS3,TimedStorage-S3,0.571,2025-07-04T01:00Z,2025-07-04T02:00Z
li-5865784,2025-06-01,910876544068,AmazonEC2,BoxUsage:m6i.xlarge,8.535,2025-06-24T00:00Z,2025-06-24T01:00Z
li-4238870,2025-07-01,701706285696,AmazonRDS,BoxUsage:m6i.xlarge,6.855,2025-07-04T04:00Z,2025-07-04T05:00Z
li-8836572,2025-07-01,740048816051,AmazonRDS,InstanceUsage:rds.t3.medium,3.883,2025-07-12T05:00Z,2025-07-12T06:00Z
li-6917121,2025-06-01,757773956368,AmazonS3,TimedStorage-S3,4.496,2025-06-24T14:00Z,2025-06-24T15:00Z
li-7046066,2025-07-01,146969504617,AmazonEC2,BoxUsage:m6i.xlarge,5.715,2025-07-13T03:00Z,2025-07-13T04:00Z
li-2195802,2025-06-01,406961029775,AmazonS3,BoxUsage:m6i.xlarge,9.168,2025-06-21T19:00Z,2025-06-21T20:00Z
li-3406183,2025-07-01,424162965522,AmazonEC2,BoxUsage:m6i.xlarge,5.950,2025-07-13T10:00Z,2025-07-13T11:00Z
li-4077501,2025-07-01,769861048553,AmazonS3,BoxUsage:m6i.xlarge,6.859,2025-07-15T01:00Z,2025-07-15T02:00Z
li-2223505,2025-07-01,717843861304,AmazonRDS,InstanceUsage:rds.t3.medium,0.523,2025-07-13T00:00Z,2025-07-13T01:00Z
li-3804716,2025-07-01,102542737625,AmazonS3,InstanceUsage:rds.t3.medium,4.028,2025-07-11T13:00Z,2025-07-11T14:00Z
li-7201720,2025-07-01,556532400653,AmazonRDS,InstanceUsage:rds.t3.medium,1.841,2025-07-02T21:00Z,2025-07-02T22:00Z
li-4281431,2025-07-01,511178311595,AmazonEC2,InstanceUsage:rds.t3.medium,5.487,2025-07-15T08:00Z,2025-07-15T09:00Z
li-1108950,2025-06-01,701739684302,AmazonEC2,BoxUsage:m6i.xlarge,1.016,2025-06-18T07:00Z,2025-06-18T08:00Z
li-9294407,2025-06-01,589866181486,AmazonRDS,BoxUsage:m6i.xlarge,6.830,2025-06-29T00:00Z,2025-06-29T01:00Z
li-4592074,2025-07-01,327851375167,AmazonRDS,InstanceUsage:rds.t3.medium,6.961,2025-07-12T17:00Z,2025-07-12T18:00Z
li-7844156,2025-07-01,107841308509,AmazonS3,InstanceUsage:rds.t3.medium,5.832,2025-07-01T00:00Z,2025-07-01T01:00Z
li-5835984,2025-07-01,179431289737,AmazonEC2,InstanceUsage:rds.t3.medium,2.408,2025-07-13T15:00Z,2025-07-13T16:00Z
li-9632220,2025-07-01,997408501331,AmazonRDS,TimedStorage-S3,5.785,2025-07-03T07:00Z,2025-07-03T08:00Z
li-2638632,2025-07-01,627376424255,AmazonS3,TimedStorage-S3,6.947,2025-07-09T17:00Z,2025-07-09T18:00Z
li-7784163,2025-07-01,286925617940,AmazonS3,InstanceUsage:rds.t3.medium,4.440,2025-07-14T19:00Z,2025-07-14T20:00Z
li-3040746,2025-06-01,758911752772,AmazonS3,BoxUsage:m6i.xlarge,1.818,2025-06-28T07:00Z,2025-06-28T08:00Z
li-4240322,2025-06-01,854986499142,AmazonS3,TimedStorage-S3,6.112,2025-06-21T08:00Z,2025-06-21T09:00Z
li-2655796,2025-07-01,282687513437,AmazonS3,InstanceUsage:rds.t3.medium,3.469,2025-07-17T01:00Z,2025-07-17T02:00Z
li-2758957,2025-06-01,883894950993,AmazonRDS,BoxUsage:m6i.xlarge,5.392,2025-06-19T06:00Z,2025-06-19T07:00Z
li-5859523,2025-07-01,821168927661,AmazonRDS,TimedStorage-S3,4.067,2025-07-16T08:00Z,2025-07-16T09:00Z
li-7157539,2025-07-01,334404139666,AmazonRDS,BoxUsage:m6i.xlarge,1.515,2025-07-15T01:00Z,2025-07-15T02:00Z
li-2876675,2025-07-01,333038534059,AmazonS3,InstanceUsage:rds.t3.medium,5.757,2025-07-15T08:00Z,2025-07-15T09:00Z
li-1141815,2025-07-01,453970709212,AmazonS3,TimedStorage-S3,8.415,2025-07-14T13:00Z,2025-07-14T14:00Z
li-5423534,2025-06-01,499830087008,AmazonEC2,InstanceUsage:rds.t3.medium,4.918,2025-06-25T02:00Z,2025-06-25T03:00Z
li-7054192,2025-07-01,160842051441,AmazonEC2,BoxUsage:m6i.xlarge,7.416,2025-07-14T15:00Z,2025-07-14T16:00Z
li-5886622,2025-06-01,501245576984,AmazonEC2,InstanceUsage:rds.t3.medium,3.255,2025-06-27T02:00Z,2025-06-27T03:00Z
li-5475349,2025-06-01,872377529643,AmazonS3,InstanceUsage:rds.t3.medium,3.579,2025-06-27T13:00Z,2025-06-27T14:00Z
li-2021606,2025-06-01,505925788137,AmazonRDS,BoxUsage:m6i.xlarge,4.408,2025-06-30T10:00Z,2025-06-30T11:00Z
li-1773135,2025-07-01,316581878649,AmazonS3,InstanceUsage:rds.t3.medium,6.945,2025-07-03T01:00Z,2025-07-03T02:00Z
li-1135346,2025-07-01,745153301206,AmazonS3,TimedStorage-S3,1.652,2025-07-03T10:00Z,2025-07-03T11:00Z
li-4951473,2025-07-01,199442920273,AmazonS3,BoxUsage:m6i.xlarge,4.342,2025-07-17T16:00Z,2025-07-17T17:00Z
li-2171541,2025-07-01,462217400157,AmazonRDS,InstanceUsage:rds.t3.medium,9.709,2025-07-02T09:00Z,2025-07-02T10:00Z
li-6088023,2025-07-01,767653628591,AmazonEC2,TimedStorage-S3,5.899,2025-07-15T09:00Z,2025-07-15T10:00Z
li-9891684,2025-07-01,613928349417,AmazonEC2,InstanceUsage:rds.t3.medium,2.918,2025-07-01T14:00Z,2025-07-01T15:00Z
li-7418643,2025-07-01,400160260303,AmazonS3,BoxUsage:m6i.xlarge,1.534,2025-07-02T21:00Z,2025-07-02T22:00Z
li-7994959,2025-07-01,779941173414,AmazonEC2,InstanceUsage:rds.t3.medium,9.323,2025-07-07T08:00Z,2025-07-07T09:00Z
li-4142901,2025-06-01,390253079960,AmazonRDS,InstanceUsage:rds.t3.medium,9.434,2025-06-29T07:00Z,2025-06-29T08:00Z
li-3356016,2025-07-01,272104301698,AmazonRDS,InstanceUsage:rds.t3.medium,3.677,2025-07-11T00:00Z,2025-07-11T01:00Z
li-9595031,2025-07-01,189058785774,AmazonRDS,InstanceUsage:rds.t3.medium,0.527,2025-07-07T00:00Z,2025-07-07T01:00Z
li-1690533,2025-06-01,432196271573,AmazonRDS,InstanceUsage:rds.t3.medium,8.998,2025-06-24T11:00Z,2025-06-24T12:00Z
li-1545234,2025-06-01,674648586569,AmazonS3,TimedStorage-S3,6.480,2025-06-22T17:00Z,2025-06-22T18:00Z
li-9790406,2025-06-01,302187622151,AmazonS3,TimedStorage-S3,4.752,2025-06-19T11:00Z,2025-06-19T12:00Z
li-1742460,2025-07-01,583138866002,AmazonRDS,BoxUsage:m6i.xlarge,1.506,2025-07-14T06:00Z,2025-07-14T07:00Z
li-2111100,2025-07-01,436986351336,AmazonS3,BoxUsage:m6i.xlarge,6.365,2025-07-08T01:00Z,2025-07-08T02:00Z
li-6664400,2025-07-01,792136592261,AmazonEC2,BoxUsage:m6i.xlarge,9.740,2025-07-12T11:00Z,2025-07-12T12:00Z
li-6141932,2025-07-01,945006415615,AmazonEC2,TimedStorage-S3,8.715,2025-07-13T19:00Z,2025-07-13T20:00Z
li-2846134,2025-07-01,928810606114,AmazonRDS,InstanceUsage:rds.t3.medium,3.478,2025-07-03T00:00Z,2025-07-03T01:00Z
li-9889090,2025-07-01,541856202118,AmazonS3,TimedStorage-S3,7.722,2025-07-11T13:00Z,2025-07-11T14:00Z
li-7801942,2025-07-01,723466927069,AmazonRDS,InstanceUsage:rds.t3.medium,0.338,2025-07-11T20:00Z,2025-07-11T21:00Z
li-5863001,2025-07-01,818762256148,AmazonRDS,BoxUsage:m6i.xlarge,0.144,2025-07-10T18:00Z,2025-07-10T19:00Z
li-7179144,2025-06-01,508294142727,AmazonS3,TimedStorage-S3,5.657,2025-06-19T21:00Z,2025-06-19T22:00Z
li-9592626,2025-07-01,578648686128,AmazonEC2,TimedStorage-S3,8.578,2025-07-12T04:00Z,2025-07-12T05:00Z
